OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Agri College B.O,Branch Post Office,797106,,MEDZIPHEMA,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Jharnapani B.O,Branch Post Office,797106,,MEDZIPHEMA,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Khaibung B.O,Branch Post Office,797106,,MEDZIPHEMA,DIMAPUR,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Chozuba S.O,Sub Post Office,797104,,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Ketsapo B.O,Branch Post Office,797108,,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Khuzami B.O,Branch Post Office,797108,,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Losami B.O,Branch Post Office,797108,,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Luzaphuhu B.O,Branch Post Office,797108,,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Meluri S.O,Sub Post Office,797114,03865-261240,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Old Phek B.O,Branch Post Office,797108,,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Pfutsero S.O,Sub Post Office,797107,,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Phek S.O,Sub Post Office,797108,,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Zavame B.O,Branch Post Office,797107,,PHEK,PHEK,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Angangba B.O,Branch Post Office,798616,,LONGKHIM,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Chungtore B.O,Branch Post Office,798616,,LONGKHIM,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Kongsang B.O,Branch Post Office,798616,,LONGKHIM,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Noksen B.O,Branch Post Office,798616,,LONGKHIM,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Yangli B.O,Branch Post Office,798616,,LONGKHIM,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Chimonger B.O,Branch Post Office,798616,,LONKHIM,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Choklangan B.O,Branch Post Office,798626,,NOKLAK,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Nokhu B.O,Branch Post Office,798626,,NOKLAK,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Pangsha B.O,Branch Post Office,798626,,NOKLAK,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Pessu B.O,Branch Post Office,798626,,NOKLAK,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Sanglao B.O,Branch Post Office,798626,,NOKLAK,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Chessore B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Chingmei B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Huker B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Kuthur B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Longkhim S.O,Sub Post Office,798616,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Noklak S.O,Sub Post Office,798626,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Panso B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Sangsanyu B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Saramati B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Shamator B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Shampur B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Shiponger B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Sotokur B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Thonokhunyu B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Tuensang S.O,Sub Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Tuensang Village B.O,Branch Post Office,798612,,TUENSANG,TUENSANG,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Aitepyong B.O,Branch Post Office,797100,,DOYANG H PROJECT,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
Baghty B.O,Branch Post Office,797111,,DOYANG H PROJECT,WOKHA,NAGALAND,NAGALAND,NORTH EASTERN,NORTH EASTERN
