OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Chando B.O,Branch Post Office,829301,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Chandra B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Chandrapura S.O,Sub Post Office,828403,06549-242251,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Chas Bazar B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Chiksia B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Chilgada B.O,Branch Post Office,829301,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Dhori S.O,Sub Post Office,825102,06549-220230,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Dudhigajar B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Durgapur B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Galgaltand B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Gamhariya B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Gangjori B.O,Branch Post Office,829301,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Ghagri B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Ghatiali B.O,Branch Post Office,827010,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Gomia S.O,Sub Post Office,829111,06544-261816,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Hissim B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
I.E.Gomia S.O,Sub Post Office,829112,06544-261736,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Jamagoria B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Jarangdih Colliery S.O,Sub Post Office,829113,,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Jaridih B.O,Branch Post Office,827010,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Jaridih Bazar S.O,Sub Post Office,829114,06549-220366,Bokaro,BOKARO,JHARKHAND,GIRIDIH,RANCHI,JHARKHAND
Jhalbarda B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
K.R.Centre B.O,Branch Post Office,827013,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Kanak Chas B.O,Branch Post Office,828134,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Karma B.O,Branch Post Office,827302,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
Karmatand B.O,Branch Post Office,828307,,BOKARO,BOKARO,JHARKHAND,DHANBAD,RANCHI,JHARKHAND
