OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Forbesganj S.O,Sub Post Office,854318,06455-222263,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Gairki B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Gaiyari B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Gamharia B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Ghurna B.O,Branch Post Office,854336,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Gidwas B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Gokhlapur B.O,Branch Post Office,854335,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Gunwanti B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Haldarhat B.O,Branch Post Office,854331,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Haldia Bokra B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Hansa B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Haripur Dak B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Jagta B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Jahanpur B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Jamua B.O,Branch Post Office,854331,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Jaynagar B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Jogbani S.O,Sub Post Office,854328,06455-242287,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Jokihat S.O,Sub Post Office,854329,06453-248220,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
K.Baijnathpur B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kakan B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kamaldaha B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kankhudia B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kannaili B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Karankia B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kessara B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Khagra B.O,Branch Post Office,854335,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Khairkhan B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Khawashpur B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Koskapur B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kuari S.O,Sub Post Office,854332,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kujri B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kursakanta S.O,Sub Post Office,854331,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kurshail B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kushmaha B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Kushmaul B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Madanpur S.O,Sub Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Madhura B.O,Branch Post Office,854335,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Maheshwari B.O,Branch Post Office,854328,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Mahsail B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Mahullahpatti B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Mainahat B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Majhua B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Majhwa B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Manikpur B.O,Branch Post Office,854336,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Maryganj S.O,Sub Post Office,854334,06461-238217,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Matiari B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Matiyari B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Maujaha B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Megra Mehndipur B.O,Branch Post Office,854331,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Mirdaul B.O,Branch Post Office,854335,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Mirjapur Kothi B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Mirzapur B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Mohani B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Mushari Idgah B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Narpatganj S.O,Sub Post Office,854335,06455-243220,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
P. Chakrdaha B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Pachira B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Pahsara B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Pahunsi B.O,Branch Post Office,854332,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Paikpur B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Pakri B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Palasi B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Panjarkatta B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Panusi B.O,Branch Post Office,854332,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Pararia B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Parihari B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Parmanandpur B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Parwana B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Pategana B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Patharbari B.O,Branch Post Office,854329,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Pipra B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Pothia B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
R.T.Mohan B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Raghunathpur B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Rajganj B.O,Branch Post Office,854335,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Rajokhar B.O,Branch Post Office,854312,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Ramal B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Rampur B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Rampur Mohanpur B.O,Branch Post Office,854311,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
S.R.Forbesganj S.O,Sub Post Office,854318,06455-222250,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Shankarpur B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Sheikpura B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Sikti B.O,Branch Post Office,854333,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Simarbani B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Simraha B.O,Branch Post Office,854318,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
Sirsia Kalan B.O,Branch Post Office,854334,,ARARIA,ARARIA,BIHAR,PURNEA,MUZAFFARPUR,BIHAR
