OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Gerathang B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Karjee B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Legship B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Lingchom B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Rangship B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Rinchenpong B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Sinek B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Tashiding B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Yangtey B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Yangthang B.O,Branch Post Office,737111,,Gayzing,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Arubotay B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Budang B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Buriakhop B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Chakung B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Chumbong B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Majitar B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Malbasey B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Naya Bazar S.O,Sub Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Sri Badam B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Suldung B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Takuthang B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Tharpu B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Tikpur B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Timburbong B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Zoom B.O,Branch Post Office,737121,,Jorethang,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Darap B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Dentam B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Hee Gaon B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Kaluk B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Karmatar B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Khechuperi B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Mechi Aching B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Namphu B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Pelling S.O,Sub Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Radhu Khandu B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Rimbi B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Thingling B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Uttarey B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
Yuksom B.O,Branch Post Office,737113,,Pelling,WEST SIKKIM,SIKKIM,SIKKIM,SILIGURI,WEST BENGAL
