OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Baherabandh B.O,Branch Post Office,484440,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Baitola B.O,Branch Post Office,484440,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bangawan B.O,Branch Post Office,484446,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Barbaspur B.O,Branch Post Office,484336,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Beliabadi B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bhad B.O,Branch Post Office,484336,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bijuri Colliery B.O,Branch Post Office,484440,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bijuri S.O,Sub Post Office,484440,07658-264225,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Biltukari B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Chukan B.O,Branch Post Office,484336,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Deogawan B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Dola B.O,Branch Post Office,484446,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Harad B.O,Branch Post Office,484444,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Jamgaon B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Jamuna Colliery S.O,Sub Post Office,484444,07658-265438,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Jheek Bijuri B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Jheemar Colliery B.O,Branch Post Office,484446,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Kartora B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Katkona B.O,Branch Post Office,484440,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Khamraundh B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Khodri B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Kothi B.O,Branch Post Office,484440,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Kotma Colliery S.O,Sub Post Office,484336,07658-260241,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Kotma S.O,Sub Post Office,484334,07658-233239,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Lamatola B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Latar B.O,Branch Post Office,484444,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Malga B.O,Branch Post Office,484446,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Nigwani B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Pasan B.O,Branch Post Office,484336,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Payari B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Rajnagar Colliery S.O,Sub Post Office,484446,07658-267561,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Ramnagar Colliery B.O,Branch Post Office,484446,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Reusa B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Rupaula B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Semra B.O,Branch Post Office,484446,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Tengha B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Thangaon B.O,Branch Post Office,484440,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Thodaha B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Urtan B.O,Branch Post Office,484334,,Kotma,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Achalpur B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Amarkantak S.O,Sub Post Office,484886,07629-269439,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Amdari B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Amgawan B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
Bamhani B.O,Branch Post Office,484881,,Pushparajgarh,ANUPPUR,MADHYA PRADESH,SHAHDOL,BHOPAL HQ,MADHYA PRADESH
