OFFICE NAME,OFFICE STATUS,PINCODE,TELEPHONE NO.,TALUK,DISTRICT,STATE/U.T.,POSTAL DIVISION,POSTAL REGION,POSTAL CIRCLE
                                                                                                            ,,                                          (THE INFORMATION IS SORTED DISTRICT AND TALUK WISE),,,,,,,
,,,,,,,,,
Lada B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
P.Kessang B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Palizi B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Pipu-dipu B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Seppa S.O,Sub Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Thrizino B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Veo B.O,Branch Post Office,790102,,SEPPA,EAST KAMENG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Ayeng B.O,Branch Post Office,791104,,MEBO,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Borguli B.O,Branch Post Office,791104,,MEBO,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Mebo S.O,Sub Post Office,791104,,MEBO,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Namsing B.O,Branch Post Office,791104,,MEBO,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Ngopok B.O,Branch Post Office,791104,,MEBO,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Silluk B.O,Branch Post Office,791104,,MEBO,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Sirem B.O,Branch Post Office,791104,,MEBO,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Adipasi B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Balek B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Bilat B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Boleng B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Dalbing B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Damro B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Debing B.O,Branch Post Office,791102,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
Hill Top S.O,Sub Post Office,791103,,PASIGHAT,EAST SIANG,ARUNACHAL PRADESH,ARUNACHAL PRADESH,SHILLONG HQ,NORTH EASTERN
